[08-12 17:36:15] New Score: 110, Best Score: 431, Average Score: 84.03629032258064
[08-12 17:36:20] New Score: 111, Best Score: 431, Average Score: 84.144578313253
[08-12 17:36:24] New Score: 98, Best Score: 431, Average Score: 84.2
[08-12 17:36:28] New Score: 112, Best Score: 431, Average Score: 84.31075697211155
[08-12 17:36:32] New Score: 98, Best Score: 431, Average Score: 84.36507936507937
[08-12 17:36:37] New Score: 111, Best Score: 431, Average Score: 84.4703557312253
[08-12 17:36:41] New Score: 99, Best Score: 431, Average Score: 84.5275590551181
[08-12 17:36:45] New Score: 98, Best Score: 431, Average Score: 84.58039215686274
[08-12 17:36:49] New Score: 100, Best Score: 431, Average Score: 84.640625
[08-12 17:36:53] New Score: 100, Best Score: 431, Average Score: 84.70038910505836
[08-12 17:36:57] New Score: 98, Best Score: 431, Average Score: 84.75193798449612
[08-12 17:37:02] New Score: 99, Best Score: 431, Average Score: 84.8069498069498
[08-12 17:37:06] New Score: 99, Best Score: 431, Average Score: 84.86153846153846
[08-12 17:37:10] New Score: 100, Best Score: 431, Average Score: 84.91954022988506
[08-12 17:37:15] New Score: 111, Best Score: 431, Average Score: 85.01908396946565
[08-12 17:37:19] New Score: 111, Best Score: 431, Average Score: 85.11787072243347
[08-12 17:37:24] New Score: 100, Best Score: 431, Average Score: 85.17424242424242
[08-12 17:37:28] New Score: 111, Best Score: 431, Average Score: 85.27169811320755
[08-12 17:37:32] New Score: 98, Best Score: 431, Average Score: 85.31954887218045
[08-12 17:37:37] New Score: 123, Best Score: 431, Average Score: 85.46067415730337
[08-12 17:37:42] New Score: 112, Best Score: 431, Average Score: 85.55970149253731
[08-12 17:37:46] New Score: 98, Best Score: 431, Average Score: 85.60594795539033
[08-12 17:37:51] New Score: 123, Best Score: 431, Average Score: 85.74444444444444
[08-12 17:37:55] New Score: 99, Best Score: 431, Average Score: 85.79335793357933
[08-12 17:37:59] New Score: 110, Best Score: 431, Average Score: 85.88235294117646
[08-12 17:38:04] New Score: 111, Best Score: 431, Average Score: 85.97435897435898
[08-12 17:38:08] New Score: 111, Best Score: 431, Average Score: 86.06569343065694
[08-12 17:38:13] New Score: 111, Best Score: 431, Average Score: 86.15636363636364
[08-12 17:38:18] New Score: 112, Best Score: 431, Average Score: 86.25
[08-12 17:38:22] New Score: 99, Best Score: 431, Average Score: 86.29602888086643
[08-12 17:38:26] New Score: 111, Best Score: 431, Average Score: 86.38489208633094
[08-12 17:38:30] New Score: 98, Best Score: 431, Average Score: 86.42652329749104
[08-12 17:38:34] New Score: 99, Best Score: 431, Average Score: 86.47142857142858
[08-12 17:38:38] New Score: 98, Best Score: 431, Average Score: 86.51245551601423
[08-12 17:38:42] New Score: 98, Best Score: 431, Average Score: 86.55319148936171
[08-12 17:38:46] New Score: 99, Best Score: 431, Average Score: 86.59717314487632
[08-12 17:38:51] New Score: 99, Best Score: 431, Average Score: 86.64084507042253
[08-12 17:38:55] New Score: 52, Best Score: 431, Average Score: 86.51929824561404
[08-12 17:38:59] New Score: 98, Best Score: 431, Average Score: 86.55944055944056
